Designator,Footprint,Quantity,Value,LCSC Part #
BT1,3JST_BAT,1,Battery,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D4, D5, D6, D8, D9",D-SOD-123,36,1N4148W,
D7,Nexperia_CFP3_SOD-123W with back soldermask,1,1N4148W,
PWR1,SW_CuK_OS102011MA1QN1_SPDT_Angled,1,SW_SPDT,
RST1,SKHLLCA010,1,SW_Push_45deg,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW4, SW5, SW6, SW7, SW8, SW9",SW_choc_v1v2_HSxSolder_1u_filets_MBK_blk fixxed flipped solder pads,37,SW_Push_45deg,
